...1,COMID,TOT_PPT_JAN_2017,TOT_PPT_FEB_2017,TOT_PPT_MAR_2017,TOT_PPT_APR_2017,TOT_PPT_MAY_2017,TOT_PPT_JUN_2017,TOT_PPT_JUL_2017,TOT_PPT_AUG_2017,TOT_PPT_SEP_2017,TOT_PPT_OCT_2017,TOT_PPT_NOV_2017,TOT_PPT_DEC_2017,source
406322,3917070,155.98,225.56,112.78,107.47,44.9,31.41,2.1,4.96,15.48,53.14,124.62,41.05,TOT_PPT_2017
406323,3917072,155.57,218.93,112.05,106.91,44.04,30.93,2.17,4.76,15.15,52.63,124.02,40.73,TOT_PPT_2017
406328,3917082,185.1,260.75,132.09,122.46,42.44,46.1,2.21,3.99,19.41,60.66,129.67,46.7,TOT_PPT_2017
406329,3917084,166.93,243.39,121.3,118.13,42.91,39.38,2.3,4.51,17.57,56.74,127.04,43.62,TOT_PPT_2017
406340,3917106,167.04,239.02,120.37,116.72,41.11,40.22,2.27,4.39,17.68,55.24,123.51,42.22,TOT_PPT_2017
406344,3917114,147.23,201.46,102.35,100.81,36.2,30.64,2.22,4.76,14.46,45.11,110.82,34.58,TOT_PPT_2017
406352,3917130,141.96,193.47,101.32,108.18,33.02,35.54,2.16,4.61,15.73,41.14,102.65,30.48,TOT_PPT_2017
406355,3917136,159.92,216.92,112.8,109.12,35.78,41.32,2.21,4.13,17.77,49.08,108.19,36.11,TOT_PPT_2017
406356,3917138,124.26,157.61,86.21,91.85,27.67,33.57,2.25,4.44,15.29,33.87,81.27,22.3,TOT_PPT_2017
406364,3917154,152.73,213.74,108.7,104.35,41.62,30.66,2.16,4.8,14.89,50.07,119.54,38.65,TOT_PPT_2017
406365,3917156,135.45,171.89,88.22,83.38,29.67,25.12,2.05,4.81,12.03,35.02,94.92,26.91,TOT_PPT_2017
406366,3917158,138.29,140.32,70.7,48.69,17.37,17.39,0.92,4.89,10,21.37,70.65,17.68,TOT_PPT_2017
406367,3917160,145.69,150.67,76.31,53.28,19.22,17.61,0.8,4.38,10.58,23.72,74.2,18,TOT_PPT_2017
406368,3917162,140.32,190.27,99.51,106.07,32.3,34.55,2.15,4.64,15.33,40.06,101.36,29.7,TOT_PPT_2017
406369,3917164,137.71,155.01,78.9,62.71,22.23,19.94,1.27,4.89,10.21,26.25,78.91,20.03,TOT_PPT_2017
406373,3917172,145.48,182.79,93.61,83.26,31.54,24.71,1.67,4.85,12.33,37.7,98.66,28.99,TOT_PPT_2017
406375,3917176,140,185.99,96.76,99.86,31.58,31.74,2.06,4.7,14.39,38.67,99.86,28.97,TOT_PPT_2017
406376,3917178,139.97,187.84,97.83,102.22,32.07,32.72,2.12,4.68,14.72,39.38,100.84,29.43,TOT_PPT_2017
406383,3917194,126.19,167.75,90.6,110.09,27.42,32.5,1.93,4.94,13.7,31.37,92.47,23.13,TOT_PPT_2017
406384,3917198,139.63,177.91,92.23,91.04,29.01,28.98,1.85,4.72,13.5,35.48,94.6,26.75,TOT_PPT_2017
406385,3917200,138.25,174.61,90.19,87.6,28,28.21,1.81,4.7,13.22,34.32,92.6,26.05,TOT_PPT_2017
406396,3917230,83.2,99.58,43.45,27.16,8.09,14.49,1.05,5.31,6.91,12.64,47.76,11.42,TOT_PPT_2017
406398,3917244,213.04,194.98,110.77,126.84,16.79,25.28,1.54,5.7,8.73,19.43,112.3,14.7,TOT_PPT_2017
406496,3917912,140.89,190.74,99.4,104.36,32.8,33.6,2.15,4.67,15.07,40.44,102.26,30.17,TOT_PPT_2017
406497,3917914,133.91,168.2,93.74,98.2,30.66,37.45,2.22,4.2,17.61,36.14,85.63,25.14,TOT_PPT_2017
406498,3917916,128.78,167.68,91.29,104.74,28.52,33.87,2.07,4.68,15,33.19,90.04,23.73,TOT_PPT_2017
406499,3917918,139.52,180.25,93.58,93.92,29.79,29.8,1.92,4.73,13.73,36.41,96.2,27.39,TOT_PPT_2017
406500,3917920,141.47,145.19,73.26,50.71,18.19,17.49,0.87,4.62,10.27,22.46,72.25,17.79,TOT_PPT_2017
406501,3917922,118.3,127.05,60.76,38.01,13.43,17.11,1.26,4.37,9.18,17.73,63.8,15.91,TOT_PPT_2017
406511,3917946,210.99,193.58,109.67,125.23,16.65,25.09,1.52,5.7,8.7,19.31,111.26,14.65,TOT_PPT_2017
406512,3917948,137.55,173.57,89.58,86.61,27.68,27.98,1.8,4.69,13.13,33.97,91.91,25.84,TOT_PPT_2017
406513,3917950,214.7,196.18,111.61,128.11,16.9,25.42,1.54,5.7,8.75,19.51,113.14,14.73,TOT_PPT_2017
2695742,948010089,118.17,127.01,60.73,37.95,13.4,17.1,1.27,4.37,9.18,17.71,63.74,15.89,TOT_PPT_2017
